state,average_time_spent
AK,143
AL,162.5
AR,158.75
AS,NA
AZ,170.75
CA,178.5
CO,142.75
CT,190.5
DC,323
DE,223.66666666666666
FL,153
GA,171.25
GU,NA
HI,149.5
IA,162.25
ID,154.25
IL,192.75
IN,142
KS,148.75
KY,166.5
LA,151
MA,209.75
MD,224.75
ME,208
MI,178.25
MN,156.5
MO,177.75
MP,NA
MS,151.25
MT,156
NC,181.25
ND,151.33333333333334
NE,141.66666666666666
NH,176.5
NJ,178
NM,196.75
NV,146.75
NY,199.25
OH,161
OK,136.5
OR,185.5
PA,184.25
PR,318
RI,251.33333333333334
SC,159.75
SD,154.66666666666666
TN,168.5
TX,154.25
UT,149.5
VA,161.75
VI,NA
VT,188.66666666666666
WA,173
WI,153
WV,175.25
WY,156.5
